X	Y
400	3.37055E-07
401	1.50016E-07
402	6.6769E-08
403	2.97175E-08
404	1.32267E-08
405	9.80456E-09
406	9.80494E-09
407	9.80533E-09
408	9.80573E-09
409	9.80612E-09
410	9.8065E-09
411	9.80688E-09
412	9.80729E-09
413	9.80767E-09
414	9.80806E-09
415	9.80846E-09
416	9.80885E-09
417	9.80923E-09
418	9.80962E-09
419	9.81002E-09
420	1.84246E-08
421	3.92397E-08
422	8.35705E-08
423	1.77984E-07
424	3.40617E-07
425	3.00311E-07
426	2.64775E-07
427	2.33444E-07
428	2.0582E-07
429	1.59212E-07
430	1.16529E-07
431	8.52892E-08
432	6.24242E-08
433	4.56891E-08
434	3.34404E-08
435	2.44755E-08
436	1.79139E-08
437	1.59911E-08
438	2.17143E-08
439	2.94857E-08
440	4.00386E-08
441	5.43683E-08
442	7.38266E-08
443	1.00249E-07
444	1.36128E-07
445	1.84847E-07
446	2.3329E-07
447	2.09728E-07
448	1.88546E-07
449	1.69503E-07
450	1.52383E-07
451	1.49596E-07
452	2.03411E-07
453	2.76587E-07
454	3.76086E-07
455	5.11379E-07
456	6.95343E-07
457	9.45486E-07
458	1.28562E-06
459	1.7481E-06
460	1.89397E-06
461	1.77189E-06
462	1.65767E-06
463	1.55082E-06
464	1.45085E-06
465	1.35733E-06
466	1.64305E-06
467	2.44645E-06
468	3.6427E-06
469	5.4239E-06
470	8.07605E-06
471	1.20251E-05
472	1.7905E-05
473	2.66601E-05
474	3.96962E-05
475	5.91066E-05
476	8.80084E-05
477	9.48159E-05
478	9.67678E-05
479	9.87602E-05
480	0.000100794
481	0.000102869
482	0.000108691
483	0.00012143
484	0.000135662
485	0.00015672
486	0.000232733
487	0.000345614
488	0.000551602
489	0.000963949
490	0.001684546
491	0.002943818
492	0.005144451
493	0.008990172
494	0.016100153
495	0.037478137
496	0.087242279
497	1.592796
498	13.509077
499	24.759796
500	31.383836
501	54.478284
502	96.344999
503	96.408322
504	96.471644
505	96.534967
506	96.598289
507	96.643124
508	96.643239
509	96.643355
510	96.643471
511	96.643586
512	96.643702
513	96.643817
514	96.617546
515	96.580823
516	96.544101
517	96.507378
518	96.512109
519	96.600738
520	96.689367
521	96.777995
522	96.742005
523	96.647451
524	96.552897
525	96.458343
526	96.363789
527	96.396825
528	96.529764
529	96.662703
530	96.795641
531	96.948799
532	97.103907
533	97.259015
534	97.367917
535	97.347937
536	97.327958
537	97.307978
538	97.287998
539	97.268018
540	97.248038
541	97.228058
542	97.207074
543	97.182628
544	97.158182
545	97.133736
546	97.10929
547	97.084843
548	97.060397
549	97.023243
550	96.979159
551	96.935074
552	96.89099
553	96.846906
554	96.802822
555	96.758737
556	96.714653
557	96.670569
558	96.626484
559	96.5824
560	96.577896
561	96.59183
562	96.605763
563	96.619697
564	96.633631
565	96.647565
566	96.58517
567	96.50796
568	96.43075
569	96.35354
570	96.276329
571	96.199119
572	96.121909
573	96.154011
574	96.284935
575	96.415859
576	96.546783
577	96.677707
578	96.808631
579	96.939555
580	97.070479
581	97.10883
582	97.053701
583	96.998571
584	96.943442
585	96.888313
586	96.833183
587	96.778054
588	96.722925
589	96.667795
590	96.719526
591	96.811844
592	96.904163
593	96.996481
594	97.0888
595	97.181118
596	97.273437
597	97.365755
598	97.458073
599	97.550392
600	97.64271
601	97.735029
602	97.827347
603	97.753102
604	97.560112
605	97.367121
606	97.174131
607	96.98114
608	96.78815
609	96.595159
610	96.402169
611	96.209178
612	96.016188
613	95.823197
614	95.630207
615	95.746516
616	95.908447
617	96.070379
618	96.23231
619	96.394241
620	96.556172
621	96.718103
622	96.880034
623	97.041965
624	97.062458
625	96.858877
626	96.655297
627	96.451717
628	96.248137
629	96.044557
630	95.840977
631	95.637397
632	95.433816
633	95.230236
634	95.317591
635	95.448515
636	95.579438
637	95.710362
638	95.841286
639	95.97221
640	96.103133
641	96.234057
642	96.154687
643	96.035886
644	95.917084
645	95.798283
646	95.679481
647	95.560679
648	95.441878
649	95.323076
650	95.204275
651	95.172325
652	95.314765
653	95.457204
654	95.599643
655	95.742083
656	95.884522
657	96.026961
658	96.169401
659	96.31184
660	96.454279
661	96.565269
662	96.437983
663	96.310698
664	96.183413
665	96.056128
666	95.928843
667	95.801558
668	95.674273
669	95.546988
670	95.419703
671	95.47511
672	95.649228
673	95.823346
674	95.997464
675	96.171582
676	96.3457
677	96.519818
678	96.693936
679	96.868054
680	97.042173
681	97.093578
682	96.95569
683	96.817801
684	96.679913
685	96.542024
686	96.404136
687	96.266247
688	96.128359
689	95.99047
690	95.996668
691	96.093602
692	96.190535
693	96.287468
694	96.384401
695	96.481335
696	96.578268
697	96.675201
698	96.772135
699	96.869068
700	96.966001
