Ticker,type,note,
^VIX,vix,CBOE Volatility Index ,
^TNX,rate,CBOE Interest Rate 10 Year T No (^TNX),
DX-Y.NYB,index,US Dollar Index Futures Cash,
^IRX,rate,Options on the short-term rate,
^FVX,rate,Options on the 5-year rate,
^TYX,rate,Options on the 30-year rate,
^VXN,vix,CBOE nasdaq 100 vix,
VXNCLS,vix,CBOE nasdaq 100 vix,
RVXCLS,vix,CBOE Russell 2000 VIX,
BAMLEMCBPIOAS,rate,ICE BofAML em mkt co plus index option adj spread,
BAMLH0A0HYM2,rate,ICE BofAML US high yield master 2 option adj spread,
VXVCLS,vix,CBOE SP 500 3month vix,
T10Y2Y,rate,10y treasury minus 2 year constant maturity,
DGS2,rate,2yr treasury c.m. rate,
T10Y3M,rate,10y to 3m CM spread,
DGS10,rate,10y treasury CM rate,
DGS3MO,rate,3month T CM rate,
T10YIE,rate,10year breakeven inflation rate,
DFII10,rate,10y treasury inflation indexed security CM,
BAA10Y,rate,Moody baa corp bond to 10y T CM,
T10YFF,rate,10y T CM minus federal funds rate,
HQMCB10YR,rate,10y high quality market corp bond spot rate,
DTWEXM,index,trade weighted usd index to major currencies,
VIXCLS,vix,CBOE VIX,
VXTYN,vix,10 year t note vix,
VXOCLS,vix,sp100 vix,
VXAZNCLS,vix,amazon vix,
VXIBMCLS,vix,ibm vix,
VXGSCLS,vix,Goldman sachs vix,
VXGOGCLS,vix,google vix,
VXAPLCLS,vix,apple vix,
VXDCLS,vix,DJIA vix,
VXFXICLS,vix,CBOE china ETF vix,
VXEEMCLS,vix,emerging mkt ETF vix,
GVZCLS,vix,gold etf vix,
OVXCLS,vix,crude oil etf vix,
